seed,round,model,wall_time_s,avg_time_per_batch_s
seed0,001,model_000,10.465,0.0082
seed0,001,model_001,10.094,0.0080
seed0,001,model_002,10.311,0.0082
seed0,001,model_003,10.185,0.0081
seed0,002,model_000,10.280,0.0082
seed0,002,model_001,10.722,0.0084
seed0,002,model_002,11.041,0.0089
seed0,002,model_003,11.502,0.0092
seed0,003,model_000,10.594,0.0083
seed0,003,model_001,10.597,0.0083
seed0,003,model_002,10.528,0.0084
seed0,003,model_003,10.589,0.0084
seed1,001,model_000,10.894,0.0086
seed1,001,model_001,11.002,0.0087
seed1,001,model_002,11.123,0.0087
seed1,001,model_003,11.228,0.0088
seed1,002,model_000,10.925,0.0087
seed1,002,model_001,10.462,0.0084
seed1,002,model_002,10.323,0.0082
seed1,002,model_003,10.902,0.0082
seed1,003,model_000,10.889,0.0088
seed1,003,model_001,11.126,0.0090
seed1,003,model_002,10.832,0.0086
seed1,003,model_003,10.832,0.0086
seed2,001,model_000,11.011,0.0088
seed2,001,model_001,11.599,0.0092
seed2,001,model_002,11.616,0.0093
seed2,001,model_003,11.704,0.0094
seed2,002,model_000,10.820,0.0085
seed2,002,model_001,10.555,0.0084
seed2,002,model_002,10.621,0.0083
seed2,002,model_003,10.296,0.0082
seed2,003,model_000,11.903,0.0094
seed2,003,model_001,12.413,0.0097
seed2,003,model_002,11.860,0.0093
seed2,003,model_003,12.189,0.0095
