strategy,round,n_seeds,force_rmse_mean,force_rmse_std,energy_rmse_mean,force_dev_max_mean
uncertainty,1,1,2.049600e-01,N/A,3.691970e-02,1.949585e-01
uncertainty,2,1,1.829423e-01,N/A,2.960471e-02,3.929152e-01
uncertainty,3,1,1.824645e-01,N/A,3.534512e-02,1.872272e-01
random,1,3,1.958417e-01,4.106230e-03,3.365432e-02,N/A
random,2,3,2.109470e-01,7.532606e-03,3.638223e-02,N/A
random,3,3,2.165319e-01,2.548429e-02,3.840250e-02,N/A
diversity,1,3,1.960202e-01,1.693183e-02,3.636894e-02,1.478482e-01
diversity,2,3,1.962938e-01,1.294823e-02,3.593420e-02,2.046104e-01
diversity,3,3,1.890609e-01,2.475556e-02,3.570077e-02,3.322844e-01
trust_level,1,3,1.978358e-01,1.778315e-02,3.688355e-02,1.352529e-01
trust_level,2,3,1.992327e-01,1.400053e-02,3.592205e-02,1.959348e-01
trust_level,3,3,1.965681e-01,2.681948e-02,3.534988e-02,3.207804e-01
