strategy,seed,round,model,train_wall_s
uncertainty,,0,model_000,45.274
uncertainty,,0,model_001,42.145
uncertainty,,0,model_002,42.009
uncertainty,,0,model_003,44.882
uncertainty,,1,model_000,51.474
uncertainty,,1,model_001,51.484
uncertainty,,1,model_002,52.807
uncertainty,,1,model_003,51.479
uncertainty,,2,model_000,51.296
uncertainty,,2,model_001,53.974
uncertainty,,2,model_002,53.788
uncertainty,,2,model_003,54.341
uncertainty,,3,model_000,54.045
uncertainty,,3,model_001,54.206
uncertainty,,3,model_002,51.768
uncertainty,,3,model_003,51.591
random,0,1,model_000,51.664
random,0,1,model_001,55.896
random,0,1,model_002,52.396
random,0,1,model_003,52.475
random,0,2,model_000,52.996
random,0,2,model_001,52.935
random,0,2,model_002,52.761
random,0,2,model_003,54.908
random,0,3,model_000,55.836
random,0,3,model_001,55.774
random,0,3,model_002,58.154
random,0,3,model_003,56.774
random,1,1,model_000,52.177
random,1,1,model_001,52.432
random,1,1,model_002,55.132
random,1,1,model_003,52.516
random,1,2,model_000,54.09
random,1,2,model_001,52.165
random,1,2,model_002,51.254
random,1,2,model_003,55.052
random,1,3,model_000,53.308
random,1,3,model_001,53.178
random,1,3,model_002,56.628
random,1,3,model_003,53.321
random,2,1,model_000,56.49
random,2,1,model_001,57.232
random,2,1,model_002,61.701
random,2,1,model_003,63.631
random,2,2,model_000,85.084
random,2,2,model_001,57.647
random,2,2,model_002,52.828
random,2,2,model_003,52.968
random,2,3,model_000,62.256
random,2,3,model_001,55.804
random,2,3,model_002,84.213
random,2,3,model_003,56.8
