seed,round,model,energy_rmse,energy_rmse_natoms,force_rmse
0,1,model_000,0.1260548,0.01400608,0.3605005
0,1,model_001,0.12226,0.01358445,0.3628266
0,1,model_002,0.1206163,0.01340181,0.37448
0,1,model_003,0.1143628,0.01270698,0.3490596
0,2,model_000,0.1161371,0.01290413,0.383853
0,2,model_001,0.1294578,0.01438419,0.4015027
0,2,model_002,0.1155544,0.01283938,0.3304091
0,2,model_003,0.1036219,0.01151354,0.3781399
0,3,model_000,0.1371021,0.01523357,0.3743843
0,3,model_001,0.1441158,0.01601287,0.3968386
0,3,model_002,0.1260532,0.01400591,0.394474
0,3,model_003,0.1274505,0.01416117,0.3828614
1,1,model_000,0.1213146,0.0134794,0.3848617
1,1,model_001,0.1376262,0.0152918,0.4138195
1,1,model_002,0.1181132,0.01312369,0.3634511
1,1,model_003,0.09608891,0.01067655,0.3531193
1,2,model_000,0.1210736,0.01345262,0.3751649
1,2,model_001,0.1221497,0.01357219,0.3909025
1,2,model_002,0.1430842,0.01589824,0.4018091
1,2,model_003,0.1285924,0.01428805,0.3946123
1,3,model_000,0.1128893,0.01254325,0.3723257
1,3,model_001,0.1339538,0.01488375,0.4211987
1,3,model_002,0.1309788,0.0145532,0.3674202
1,3,model_003,0.1150689,0.01278544,0.3651367
2,1,model_000,0.1132457,0.01258286,0.3636331
2,1,model_001,0.1309767,0.01455296,0.3676368
2,1,model_002,0.1224203,0.01360226,0.3908564
2,1,model_003,0.1117077,0.01241196,0.3966349
2,2,model_000,28.95088,3.216764,0.5597327
2,2,model_001,0.1382872,0.01536525,0.4050133
2,2,model_002,0.1194744,0.01327494,0.3802458
2,2,model_003,0.1343286,0.0149254,0.3861335
2,3,model_000,29.24239,3.249155,0.6989344
2,3,model_001,0.1236522,0.01373913,0.3871721
2,3,model_002,58.79446,6.532718,2.754361
2,3,model_003,0.1175763,0.01306403,0.3647526
