strategy,round,seed,train_frames,candidate_frames,selected_frames,energy_rmse,force_rmse,selection_score_mean,selection_score_max,elapsed_train_seconds,elapsed_predict_seconds
random,001,0,,,,,,,,,
random,002,0,,,,,,,,,
random,003,0,,,,,,,,,
uncertainty,001,0,,,,,,,,,
uncertainty,002,0,,,,,,,,,
uncertainty,003,0,,,,,,,,,
uncertainty_diversity,001,0,,,,,,,,,
uncertainty_diversity,002,0,,,,,,,,,
uncertainty_diversity,003,0,,,,,,,,,
trust_level,001,0,,,,,,,,,
trust_level,002,0,,,,,,,,,
trust_level,003,0,,,,,,,,,
